****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 1846x44040
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 8.51	Loglikelihood: -1.76234e+06	(delta): 1.17498e+08
2 (EM) 	Elapsed: 8.277	Loglikelihood: -1.53864e+06	(delta): 223703
3 (EM) 	Elapsed: 8.771	Loglikelihood: -1.52158e+06	(delta): 17054.5
4 (EM) 	Elapsed: 8.594	Loglikelihood: -1.51295e+06	(delta): 8628.22
5 (EM) 	Elapsed: 10.305	Loglikelihood: -1.50702e+06	(delta): 5939.28
Initial loglikelihood: -1.50702e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 27.283	Loglikelihood: -1.43338e+06	(delta): 73637.4
2 (QN/Block) 	Elapsed: 26.6	Loglikelihood: -1.39108e+06	(delta): 42299.9
3 (QN/Block) 	Elapsed: 28.356	Loglikelihood: -1.37332e+06	(delta): 17760.4
4 (QN/Block) 	Elapsed: 27.753	Loglikelihood: -1.3628e+06	(delta): 10513.5
5 (QN/Block) 	Elapsed: 28.007	Loglikelihood: -1.35736e+06	(delta): 5444.55
6 (QN/Block) 	Elapsed: 27.47	Loglikelihood: -1.35448e+06	(delta): 2879.01
7 (QN/Block) 	Elapsed: 28.096	Loglikelihood: -1.35282e+06	(delta): 1664.75
8 (QN/Block) 	Elapsed: 28.197	Loglikelihood: -1.35169e+06	(delta): 1122.5
9 (QN/Block) 	Elapsed: 27.832	Loglikelihood: -1.35092e+06	(delta): 769.341
10 (QN/Block) 	Elapsed: 28.423	Loglikelihood: -1.35048e+06	(delta): 444.153
11 (QN/Block) 	Elapsed: 28.981	Loglikelihood: -1.35025e+06	(delta): 230.894
12 (QN/Block) 	Elapsed: 28.12	Loglikelihood: -1.35011e+06	(delta): 139.622
13 (QN/Block) 	Elapsed: 27.606	Loglikelihood: -1.34998e+06	(delta): 124.57
14 (QN/Block) 	Elapsed: 30.025	Loglikelihood: -1.34969e+06	(delta): 292.137
15 (QN/Block) 	Elapsed: 29.572	Loglikelihood: -1.34953e+06	(delta): 164.538
16 (QN/Block) 	Elapsed: 29.33	Loglikelihood: -1.34934e+06	(delta): 185.955
17 (QN/Block) 	Elapsed: 30.645	Loglikelihood: -1.34918e+06	(delta): 166.011
18 (QN/Block) 	Elapsed: 29.779	Loglikelihood: -1.34899e+06	(delta): 185.8
19 (QN/Block) 	Elapsed: 30.985	Loglikelihood: -1.3489e+06	(delta): 91.679
20 (QN/Block) 	Elapsed: 27.865	Loglikelihood: -1.34883e+06	(delta): 69.9874
21 (QN/Block) 	Elapsed: 26.787	Loglikelihood: -1.34879e+06	(delta): 39.0245
22 (QN/Block) 	Elapsed: 29.074	Loglikelihood: -1.34875e+06	(delta): 36.0857
23 (QN/Block) 	Elapsed: 29.515	Loglikelihood: -1.34872e+06	(delta): 37.6298
24 (QN/Block) 	Elapsed: 30.152	Loglikelihood: -1.34866e+06	(delta): 59.7766
25 (QN/Block) 	Elapsed: 29.862	Loglikelihood: -1.34858e+06	(delta): 71.6548
26 (QN/Block) 	Elapsed: 28.033	Loglikelihood: -1.34854e+06	(delta): 43.6147
27 (QN/Block) 	Elapsed: 27.564	Loglikelihood: -1.34849e+06	(delta): 47.7233
28 (QN/Block) 	Elapsed: 28.285	Loglikelihood: -1.34847e+06	(delta): 25.3373
29 (QN/Block) 	Elapsed: 27.763	Loglikelihood: -1.34844e+06	(delta): 27.3576
